case_number,location,state
2011.10.02,"Santa Maria Island, Manatee County",FL
2011.10.01,"Gulf Shores, Baldwin County",AL
2011.09.30,Hatillo Beach,
2011.09.24.b,"Santa Maria Island, Manatee County",FL
2011.09.24.a,"North Myrtle Beach, Horry County",SC
2011.09.20,Kauai,HI
2011.09.16,New Smyrna Beach,FL
2011.09.11.b,"Samoa Beach, Humboldt County",CA
2011.09.04.b,"Nimitz State Beach, Oahu",HI
2011.09.02,"New Smyrna Beach, Volusia County",FL
2011.08.31,Crescent Beach St. Johns County,FL
2011.08.28.a,"Grass Island, Aransas County",TX
2011.08.24.b,"Buxton Beach, Dare County",NC
2011.08.24.a,Holden Beach. Brunswick County,NC
2011.08.17.c.,"Kure Beach, New Hanover County",NC
2011.08.17.b.,"Wrightsville Beach, New Hanover County",NC
2011.08.16.b, Vieques,
2011.08.15,"Myrtle Beach, Horry County",SC
2011.08.11,Beaufort Inlet,NC
2011.07.25,"Egg Harbor, Atlantic County",NJ
2011.07.19,"Ocracoke Island, Hyde County",NC
2011.07.13.b,"South Padre Island, Cameron County",TX
2011.07.07.b,"Sunday Beach, Matagorda Island, Calhoun  County",TX
2011.07.07.a,"Mustang Island, Nueces County",TX
2011.06.26,"North Topsail Beach, Onslow County",NC
2011.06.24,"San Onofre State Beach, San Diego County",CA
2011.06.21,"Perdido Key, Escambia County",FL
2011.06.12,"Off Jupiter Inlet, Palm Beach County",FL
2011.06.06.b,"La Jolla, San Diego County",CA
2011.06.06.a,"New Smyrna Beach, Volusia County",FL
2011.05.30,"Follett's Island, Brazoria County",TX
2011.05.25,"Lyman Beach, Kailua-Kona",HI
2011.05.22,"Lyman Beach, Kailua-Kona",HI
2011.05.13.b,"Ponte Vedra Beach, St Johns County",FL
2011.05.13.a,"Ormond Beach, Volusia County",FL
2011.05.10,Miami,FL
2011.04.26,"Riviera Beach, Palm Beach County",FL
2011.04.22,"New Smyrna Beach, Volusia County",FL
2011.03.29.R,Matagorda Beach,TX
2010.12.26," Kahului, Maui",HI
2010.12.11,"Tavares Bay, Maui",HI
2010.10.28,Florence,OR
2010.10.23.b,"Burnt Cove near Eastport, Washington County",ME
2010.10.22,"Surf Beach, Vandenberg AFB, Santa Barbara County",CA
2010.09.27,Winchester Bay,OR
2010.09.24,Sandridge Beach,VA
2010.09.07,"St. Augustine, St. John's County",FL
2010.09.04,"New Smyrna Beach, Volusia County",FL
2010.09.03.b,"New Smyrna Beach, Volusia County",FL
2010.09.03.a,"New Smyrna Beach, Volusia County",FL
2010.08.18,Crescent Beach St. Johns County,FL
2010.08.14,"Pigeon Point, San Mateo County",CA
2010.08.07.b,"Figure Eight Island, Wilmington, New Hanover County",NC
2010.08.05,"Bethune Beach, Volusia County",FL
2010.08.02.b,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",CA
2010.08.02.a,"Micklers Landing, St. Johns County",FL
2010.07.25,"Isle of Palms, Charleston County",SC
2010.07.23,"Jacksonville Beach, Duval County",FL
2010.07.19,Myrtle Beach,SC
2010.07.17.b,"Wrightsville Beach, New Hanover County",NC
2010.07.17.a,New Smyrna Beach,FL
2010.07.16.a,Galveston,TX
2010.07.11,"Lauderdale-by-the-Sea, Broward County",FL
2010.07.03,Off Long Island,NY
2010.07.02.b,"Pismo Beach, San Luis  Obispo County",CA
2010.07.02.a,"Dog Patch, San Onofre",CA
2010.06.27,"Eight Mile Beach, Galveston",TX
2010.06.25.b,Fripp Island,SC
2010.06.25.a,"Topsail Island, Pender County",NC
2010.06.10,Jacksonville,FL
2010.06.00,"Ponte Vedra Beach, St Johns County",FL
2010.05.30,Off Tarpon Springs,FL
2010.05.01,New Smyrna Beach,FL
2010.04.28,Hanalei Bay,FL
2010.04.19,"Hanalei Bay, Kauai",HI
